objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD004614,11.5447281506442,57.5428492030496,2455936.36575343,8488.27934265137,0.934182,7737.59,-7.33333,7151,32.3834,4706,151.671
HD004614,11.5447281506442,57.5428492030496,2454754.53146593,8422.99747467041,0.544914,7725.0,-5.666670000000001,19918,32.7359,4737,256.58
HD004614,11.5447281506442,57.5428492030496,2455937.43654107,8424.68357086182,0.819153,9560.81,-6.83333,17165,26.5299,4701,237.119
HD004614,11.5447281506442,57.5428492030496,2455936.37175999,8482.79190063477,0.878271,7738.33,-8.66667,8021,32.3858,4706,161.612
HD004614,11.5447281506442,57.5428492030496,2454105.28343492,8440.16933441162,0.528883,7701.71,,22493,32.7393,4708,262.553
HD004614,11.5447281506442,57.5428492030496,2454106.2831299,8401.20029449463,0.402528,7696.86,,37953,33.0568,4708,336.578
HD004614,11.5447281506442,57.5428492030496,2454741.58993291,8469.61879730225,0.576788,7707.429999999999,-4.0,18037,32.7837,4749,238.652
HD004614,11.5447281506442,57.5428492030496,2455936.24988122,8487.63561248779,0.795114,7733.5599999999995,-5.16667,9950,32.5725,4708,177.068
HD004614,11.5447281506442,57.5428492030496,2455936.41710431,8485.09502410889,0.833529,7733.43,-5.16667,8856,32.4864,4706,169.179
HD004614,11.5447281506442,57.5428492030496,2455936.23113242,8488.18778991699,0.796333,7736.0,-6.83333,9786,32.7053,4708,176.407
HD004614,11.5447281506442,57.5428492030496,2453995.55219625,8444.66304779053,0.906904,7683.5199999999995,,7440,32.9112,4757,150.73
HD004614,11.5447281506442,57.5428492030496,2454104.24947068,8441.89548492432,0.431508,7693.11,,33229,32.9906,4708,316.07
HD004614,11.5447281506442,57.5428492030496,2454741.59863691,8472.00965881348,0.6189439999999999,7742.3,-2.8333299999999997,15521,32.2924,4749,233.728
HD004614,11.5447281506442,57.5428492030496,2454520.3029981,8446.11072540283,0.682428,7792.28,-3.16667,12628,31.9016,4708,222.585
HD004614,11.5447281506442,57.5428492030496,2456280.47185542,8485.33344268799,1.0996599999999999,7753.36,-5.83333,5188,31.969,4709,131.947
HD004614,11.5447281506442,57.5428492030496,2455936.29497093,8486.48548126221,0.7651300000000001,7731.59,-6.0,10643,32.5853,4707,184.187
HD004614,11.5447281506442,57.5428492030496,2454520.31718702,8444.29874420166,0.63504,7812.1900000000005,-7.0,14134,31.6031,4708,244.002
HD004614,11.5447281506442,57.5428492030496,2455936.24306453,8490.64350128174,0.649096,7733.349999999999,-2.66667,14700,32.7057,4708,216.192
HD004614,11.5447281506442,57.5428492030496,2454104.2596321,8434.50355529785,0.40066999999999997,7693.81,,38344,33.0367,4708,339.88
HD004614,11.5447281506442,57.5428492030496,2454106.2477733,8420.33290863037,0.468493,7699.25,,28300,32.8562,4708,293.61
HD004614,11.5447281506442,57.5428492030496,2456280.34709321,8498.366355896,0.725135,7736.25,-3.0,11869,32.5615,4709,194.951
HD004614,11.5447281506442,57.5428492030496,2454520.34212759,8448.30322265625,0.531266,9377.72,5.33333,36789,27.2012,4701,354.222
HD004614,11.5447281506442,57.5428492030496,2454104.25045442,8437.81757354736,0.45054900000000003,7694.320000000001,,30495,32.9178,4708,304.239
HD004614,11.5447281506442,57.5428492030496,2456280.453442,8490.68069458008,0.754764,7749.92,-3.16667,10760,32.3172,4709,191.76
HD004614,11.5447281506442,57.5428492030496,2455936.31648576,8486.30046844482,0.7314109999999999,7730.93,-2.8333299999999997,11591,32.6285,4706,192.238
HD004614,11.5447281506442,57.5428492030496,2456280.32336756,8495.31173706055,0.801208,7734.17,-3.5,9831,32.5438,4709,175.793
HD004614,11.5447281506442,57.5428492030496,2455936.47159156,8485.35060882568,0.962302,7737.57,-7.666670000000001,6557,32.2494,4706,147.381
HD004614,11.5447281506442,57.5428492030496,2454105.25695508,8435.93883514404,0.468454,7695.68,,28436,32.8823,4708,294.232
HD004614,11.5447281506442,57.5428492030496,2454740.5778031,8469.27261352539,0.775256,7749.94,-10.0,10063,31.973,4749,191.541
HD004614,11.5447281506442,57.5428492030496,2455936.35195802,8485.4679107666,0.765579,7737.759999999999,-7.0,10544,32.5354,4706,184.203
HD004614,11.5447281506442,57.5428492030496,2455937.30428109,8426.77307128906,0.6833279999999999,9549.32,-4.16667,25229,26.7395,4701,282.651
